ID,term,count
GO:0006351,"transcription, DNA-templated",36
GO:0002119,nematode larval development,14
GO:0007219,Notch signaling pathway,9
GO:0040035,hermaphrodite genitalia development,9
GO:0000398,"mRNA splicing, via spliceosome",8
GO:0040007,growth,8
GO:0022604,regulation of cell morphogenesis,8
GO:0045766,positive regulation of angiogenesis,8
GO:0006952,defense response,7
GO:0007269,neurotransmitter secretion,7
GO:0040010,positive regulation of growth rate,7
GO:0008219,cell death,7
GO:0010628,positive regulation of gene expression,7
GO:0016310,phosphorylation,7
GO:0007015,actin filament organization,6
GO:0005975,carbohydrate metabolic process,6
GO:0016197,endosomal transport,6
GO:0055008,cardiac muscle tissue morphogenesis,6
GO:0008542,visual learning,6
GO:0051592,response to calcium ion,6
GO:0060048,cardiac muscle contraction,6
GO:0048169,regulation of long-term neuronal synaptic plasticity,6
GO:0006935,chemotaxis,6
GO:0006413,translational initiation,5
GO:0008016,regulation of heart contraction,5
GO:0048856,anatomical structure development,5
GO:0009408,response to heat,5
GO:0006470,protein dephosphorylation,5
GO:0000082,G1/S transition of mitotic cell cycle,5
GO:0006397,mRNA processing,5
GO:0030097,hemopoiesis,5
GO:0040027,negative regulation of vulval development,5
GO:0055085,transmembrane transport,5
GO:0043434,response to peptide hormone,5
GO:0008340,determination of adult lifespan,5
GO:0071560,cellular response to transforming growth factor beta stimulus,5
GO:0045746,negative regulation of Notch signaling pathway,5
GO:0051090,regulation of DNA-binding transcription factor activity,5
GO:0060716,labyrinthine layer blood vessel development,4
GO:0006606,protein import into nucleus,4
GO:0045454,cell redox homeostasis,4
GO:0032502,developmental process,4
GO:0007052,mitotic spindle organization,4
GO:0034332,adherens junction organization,4
GO:0007163,establishment or maintenance of cell polarity,4
GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,4
GO:0001702,gastrulation with mouth forming second,4
GO:0045987,positive regulation of smooth muscle contraction,4
GO:0046329,negative regulation of JNK cascade,4
GO:0048255,mRNA stabilization,4
GO:0007623,circadian rhythm,4
GO:0030049,muscle filament sliding,4
GO:0007259,JAK-STAT cascade,4
GO:0048745,smooth muscle tissue development,4
GO:0007224,smoothened signaling pathway,4
GO:0007367,segment polarity determination,4
GO:0045629,negative regulation of T-helper 2 cell differentiation,4
GO:0002437,inflammatory response to antigenic stimulus,4
GO:0045184,establishment of protein localization,4
GO:0008355,olfactory learning,4
GO:0030866,cortical actin cytoskeleton organization,4
GO:0070936,protein K48-linked ubiquitination,4
GO:0031668,cellular response to extracellular stimulus,4
GO:0008380,RNA splicing,4
GO:0035295,tube development,4
GO:0051591,response to cAMP,4
GO:0007612,learning,4
GO:0051289,protein homotetramerization,4
GO:0051291,protein heterooligomerization,4
GO:0007265,Ras protein signal transduction,4
GO:0032026,response to magnesium ion,4
GO:0009629,response to gravity,4
GO:0000278,mitotic cell cycle,4
GO:0007528,neuromuscular junction development,4
GO:0045732,positive regulation of protein catabolic process,4
GO:0043200,response to amino acid,4
GO:0046488,phosphatidylinositol metabolic process,4
GO:0001502,cartilage condensation,4
GO:0048469,cell maturation,4
GO:0001649,osteoblast differentiation,4
GO:0032570,response to progesterone,4
GO:0060674,placenta blood vessel development,4
GO:0006412,translation,3
GO:0030502,negative regulation of bone mineralization,3
GO:0048024,"regulation of mRNA splicing, via spliceosome",3
GO:0018279,protein N-linked glycosylation via asparagine,3
GO:0006662,glycerol ether metabolic process,3
GO:0051085,chaperone cofactor-dependent protein refolding,3
GO:0006986,response to unfolded protein,3
GO:0008585,female gonad development,3
GO:0032091,negative regulation of protein binding,3
GO:0032651,regulation of interleukin-1 beta production,3
GO:0000186,activation of MAPKK activity,3
GO:0060348,bone development,3
GO:0006368,transcription elongation from RNA polymerase II promoter,3
GO:0043966,histone H3 acetylation,3
GO:0001837,epithelial to mesenchymal transition,3
GO:0006913,nucleocytoplasmic transport,3
GO:0007160,cell-matrix adhesion,3
GO:0021953,central nervous system neuron differentiation,3
GO:0043967,histone H4 acetylation,3
GO:0019229,regulation of vasoconstriction,3
GO:0030241,skeletal muscle myosin thick filament assembly,3
GO:0015813,L-glutamate transmembrane transport,3
GO:0046331,lateral inhibition,3
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,3
GO:0009314,response to radiation,3
GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,3
GO:0048705,skeletal system morphogenesis,3
GO:0048008,platelet-derived growth factor receptor signaling pathway,3
GO:0006369,termination of RNA polymerase II transcription,3
GO:0051223,regulation of protein transport,3
GO:0008586,imaginal disc-derived wing vein morphogenesis,3
GO:0051017,actin filament bundle assembly,3
GO:0008347,glial cell migration,3
GO:0043517,"positive regulation of DNA damage response, signal transduction by p53 class mediator",3
GO:0031398,positive regulation of protein ubiquitination,3
GO:0030048,actin filament-based movement,3
GO:0006605,protein targeting,3
GO:0006198,cAMP catabolic process,3
GO:0046676,negative regulation of insulin secretion,3
GO:0006892,post-Golgi vesicle-mediated transport,3
GO:0048477,oogenesis,3
GO:0000245,spliceosomal complex assembly,3
GO:0060009,Sertoli cell development,3
GO:0050919,negative chemotaxis,3
GO:0015809,arginine transport,3
GO:0015819,lysine transport,3
GO:0035071,salivary gland cell autophagic cell death,3
GO:0007076,mitotic chromosome condensation,3
GO:0048712,negative regulation of astrocyte differentiation,3
GO:0008544,epidermis development,3
GO:0051491,positive regulation of filopodium assembly,3
GO:0007095,mitotic G2 DNA damage checkpoint,3
GO:0009411,response to UV,3
GO:0007631,feeding behavior,3
GO:0045859,regulation of protein kinase activity,3
GO:0043406,positive regulation of MAP kinase activity,3
GO:0006661,phosphatidylinositol biosynthetic process,3
GO:0035022,positive regulation of Rac protein signal transduction,3
GO:0071364,cellular response to epidermal growth factor stimulus,3
GO:0033198,response to ATP,3
GO:0009743,response to carbohydrate,3
GO:0008104,protein localization,3
GO:0071230,cellular response to amino acid stimulus,3
GO:0071407,cellular response to organic cyclic compound,3
GO:0043508,negative regulation of JUN kinase activity,3
GO:0033138,positive regulation of peptidyl-serine phosphorylation,3
GO:0050714,positive regulation of protein secretion,3
GO:0018107,peptidyl-threonine phosphorylation,3
GO:0051496,positive regulation of stress fiber assembly,3
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,3
GO:0045926,negative regulation of growth,3
GO:0048468,cell development,3
GO:0006928,movement of cell or subcellular component,3
GO:0042391,regulation of membrane potential,3
GO:0043268,positive regulation of potassium ion transport,3
GO:0051028,mRNA transport,3
GO:0016079,synaptic vesicle exocytosis,3
GO:0032332,positive regulation of chondrocyte differentiation,3
GO:0061036,positive regulation of cartilage development,3
GO:0090190,positive regulation of branching involved in ureteric bud morphogenesis,3
GO:0010634,positive regulation of epithelial cell migration,3
GO:0002683,negative regulation of immune system process,3
GO:0045807,positive regulation of endocytosis,3
GO:0051385,response to mineralocorticoid,3
GO:0022010,central nervous system myelination,3
GO:0007611,learning or memory,3
GO:0002062,chondrocyte differentiation,3
GO:0030513,positive regulation of BMP signaling pathway,3
GO:0003333,amino acid transmembrane transport,3
GO:0050775,positive regulation of dendrite morphogenesis,3
GO:0021510,spinal cord development,3
GO:0042994,cytoplasmic sequestering of transcription factor,3
GO:0001759,organ induction,3
GO:0003300,cardiac muscle hypertrophy,3
GO:0001503,ossification,3
GO:0009267,cellular response to starvation,3
GO:0060252,positive regulation of glial cell proliferation,3
GO:0030203,glycosaminoglycan metabolic process,3
GO:0007218,neuropeptide signaling pathway,3
GO:0010765,positive regulation of sodium ion transport,3
GO:0009615,response to virus,3
GO:0032006,regulation of TOR signaling,3
GO:0048839,inner ear development,3
GO:0042766,nucleosome mobilization,2
GO:0006337,nucleosome disassembly,2
GO:0035372,protein localization to microtubule,2
GO:0032930,positive regulation of superoxide anion generation,2
GO:0031274,positive regulation of pseudopodium assembly,2
GO:0010804,negative regulation of tumor necrosis factor-mediated signaling pathway,2
GO:0061028,establishment of endothelial barrier,2
GO:0072643,interferon-gamma secretion,2
GO:0042119,neutrophil activation,2
GO:0034141,positive regulation of toll-like receptor 3 signaling pathway,2
GO:0034145,positive regulation of toll-like receptor 4 signaling pathway,2
GO:0008345,larval locomotory behavior,2
GO:0022414,reproductive process,2
GO:0060315,negative regulation of ryanodine-sensitive calcium-release channel activity,2
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic",2
GO:0045086,positive regulation of interleukin-2 biosynthetic process,2
GO:0006349,regulation of gene expression by genetic imprinting,2
GO:0051051,negative regulation of transport,2
GO:0032330,regulation of chondrocyte differentiation,2
GO:0046662,regulation of oviposition,2
GO:0060903,positive regulation of meiosis I,2
GO:0003016,respiratory system process,2
GO:0006378,mRNA polyadenylation,2
GO:0009744,response to sucrose,2
GO:0090331,negative regulation of platelet aggregation,2
GO:0030536,larval feeding behavior,2
GO:0043087,regulation of GTPase activity,2
GO:0046959,habituation,2
GO:0016319,mushroom body development,2
GO:0015014,"heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process",2
GO:0002121,inter-male aggressive behavior,2
GO:0007270,neuron-neuron synaptic transmission,2
GO:0010940,positive regulation of necrotic cell death,2
GO:0048261,negative regulation of receptor-mediated endocytosis,2
GO:0042331,phototaxis,2
GO:0016183,synaptic vesicle coating,2
GO:0033120,positive regulation of RNA splicing,2
GO:0072707,cellular response to sodium dodecyl sulfate,2
GO:1901989,positive regulation of cell cycle phase transition,2
GO:0061014,positive regulation of mRNA catabolic process,2
GO:0030589,pseudocleavage involved in syncytial blastoderm formation,2
GO:0046664,"dorsal closure, amnioserosa morphology change",2
GO:0045475,locomotor rhythm,2
GO:0042491,inner ear auditory receptor cell differentiation,2
GO:0055059,asymmetric neuroblast division,2
GO:0055013,cardiac muscle cell development,2
GO:0006941,striated muscle contraction,2
GO:0014866,skeletal myofibril assembly,2
GO:0046069,cGMP catabolic process,2
GO:0097011,cellular response to granulocyte macrophage colony-stimulating factor stimulus,2
GO:0016578,histone deubiquitination,2
GO:0007339,binding of sperm to zona pellucida,2
GO:0035092,sperm chromatin condensation,2
GO:0045070,positive regulation of viral genome replication,2
GO:0051729,"germline cell cycle switching, mitotic to meiotic cell cycle",2
GO:0035063,nuclear speck organization,2
GO:0007077,mitotic nuclear envelope disassembly,2
GO:0002689,negative regulation of leukocyte chemotaxis,2
GO:0009719,response to endogenous stimulus,2
GO:0048025,"negative regulation of mRNA splicing, via spliceosome",2
GO:0001703,gastrulation with mouth forming first,2
GO:0031124,mRNA 3'-end processing,2
GO:0045793,positive regulation of cell size,2
GO:0045347,negative regulation of MHC class II biosynthetic process,2
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,2
GO:0051093,negative regulation of developmental process,2
GO:0046784,viral mRNA export from host cell nucleus,2
GO:0042326,negative regulation of phosphorylation,2
GO:0003073,regulation of systemic arterial blood pressure,2
GO:1900029,positive regulation of ruffle assembly,2
GO:0097113,AMPA glutamate receptor clustering,2
GO:0060080,inhibitory postsynaptic potential,2
GO:0032230,"positive regulation of synaptic transmission, GABAergic",2
GO:0007168,receptor guanylyl cyclase signaling pathway,2
GO:2000251,positive regulation of actin cytoskeleton reorganization,2
GO:0090303,positive regulation of wound healing,2
GO:0090398,cellular senescence,2
GO:2000573,positive regulation of DNA biosynthetic process,2
GO:0051461,positive regulation of corticotropin secretion,2
GO:0008643,carbohydrate transport,2
GO:0014909,smooth muscle cell migration,2
GO:0045823,positive regulation of heart contraction,2
GO:0035293,chitin-based larval cuticle pattern formation,2
GO:0006937,regulation of muscle contraction,2
GO:2000304,positive regulation of ceramide biosynthetic process,2
GO:0034351,negative regulation of glial cell apoptotic process,2
GO:0040002,collagen and cuticulin-based cuticle development,2
GO:0050975,sensory perception of touch,2
GO:0010592,positive regulation of lamellipodium assembly,2
GO:0003334,keratinocyte development,2
GO:0046843,dorsal appendage formation,2
GO:0055075,potassium ion homeostasis,2
GO:0030517,negative regulation of axon extension,2
GO:0046533,negative regulation of photoreceptor cell differentiation,2
GO:0060517,epithelial cell proliferation involved in prostatic bud elongation,2
GO:0071504,cellular response to heparin,2
GO:0003188,heart valve formation,2
GO:0060729,intestinal epithelial structure maintenance,2
GO:2000138,positive regulation of cell proliferation involved in heart morphogenesis,2
GO:0003413,chondrocyte differentiation involved in endochondral bone morphogenesis,2
GO:0019100,male germ-line sex determination,2
GO:2000020,positive regulation of male gonad development,2
GO:2000741,positive regulation of mesenchymal stem cell differentiation,2
GO:0045662,negative regulation of myoblast differentiation,2
GO:0072289,metanephric nephron tubule formation,2
GO:0003415,chondrocyte hypertrophy,2
GO:0072197,ureter morphogenesis,2
GO:0072034,renal vesicle induction,2
GO:0060221,retinal rod cell differentiation,2
GO:0003203,endocardial cushion morphogenesis,2
GO:0070371,ERK1 and ERK2 cascade,2
GO:0060784,regulation of cell proliferation involved in tissue homeostasis,2
GO:0006361,transcription initiation from RNA polymerase I promoter,2
GO:0006363,termination of RNA polymerase I transcription,2
GO:0060088,auditory receptor cell stereocilium organization,2
GO:0050957,equilibrioception,2
GO:0010107,potassium ion import,2
GO:0060075,regulation of resting membrane potential,2
GO:2000974,negative regulation of pro-B cell differentiation,2
GO:0021781,glial cell fate commitment,2
GO:0021861,forebrain radial glial cell differentiation,2
GO:2000737,negative regulation of stem cell differentiation,2
GO:2000981,negative regulation of inner ear receptor cell differentiation,2
GO:0042668,auditory receptor cell fate determination,2
GO:2000978,negative regulation of forebrain neuron differentiation,2
GO:0003222,ventricular trabecula myocardium morphogenesis,2
GO:0014015,positive regulation of gliogenesis,2
GO:0003198,epithelial to mesenchymal transition involved in endocardial cushion formation,2
GO:2000678,negative regulation of transcription regulatory region DNA binding,2
GO:0045671,negative regulation of osteoclast differentiation,2
GO:0033235,positive regulation of protein sumoylation,2
GO:0009640,photomorphogenesis,2
GO:0030432,peristalsis,2
GO:0071549,cellular response to dexamethasone stimulus,2
GO:0055003,cardiac myofibril assembly,2
GO:0048739,cardiac muscle fiber development,2
GO:0048769,sarcomerogenesis,2
GO:0035995,detection of muscle stretch,2
GO:0043056,forward locomotion,2
GO:0046822,regulation of nucleocytoplasmic transport,2
GO:0060591,chondroblast differentiation,2
GO:0003278,apoptotic process involved in heart morphogenesis,2
GO:0010259,multicellular organism aging,2
GO:0009845,seed germination,2
GO:0071215,cellular response to abscisic acid stimulus,2
GO:0019371,cyclooxygenase pathway,2
GO:0010803,regulation of tumor necrosis factor-mediated signaling pathway,2
GO:0014075,response to amine,2
GO:0006670,sphingosine metabolic process,2
GO:0032811,negative regulation of epinephrine secretion,2
GO:0051270,regulation of cellular component movement,2
GO:0035641,locomotory exploration behavior,2
GO:0030007,cellular potassium ion homeostasis,2
GO:0035994,response to muscle stretch,2
GO:2000279,negative regulation of DNA biosynthetic process,2
GO:0042058,regulation of epidermal growth factor receptor signaling pathway,2
GO:0035196,production of miRNAs involved in gene silencing by miRNA,2
GO:0030727,germarium-derived female germ-line cyst formation,2
GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,2
GO:0035279,mRNA cleavage involved in gene silencing by miRNA,2
GO:0007279,pole cell formation,2
GO:0060253,negative regulation of glial cell proliferation,2
GO:0032876,negative regulation of DNA endoreduplication,2
GO:2000639,negative regulation of SREBP signaling pathway,2
GO:0035087,siRNA loading onto RISC involved in RNA interference,2
GO:0007294,germarium-derived oocyte fate determination,2
GO:0006402,mRNA catabolic process,2
GO:2000346,negative regulation of hepatocyte proliferation,2
GO:0070868,heterochromatin organization involved in chromatin silencing,2
GO:0035147,"branch fusion, open tracheal system",2
GO:0010868,negative regulation of triglyceride biosynthetic process,2
GO:0030423,targeting of mRNA for destruction involved in RNA interference,2
GO:0035190,syncytial nuclear migration,2
GO:0007096,regulation of exit from mitosis,2
GO:0036099,female germ-line stem cell population maintenance,2
GO:0030422,production of siRNA involved in RNA interference,2
GO:0045741,positive regulation of epidermal growth factor-activated receptor activity,2
GO:0033227,dsRNA transport,2
GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,2
GO:0060979,vasculogenesis involved in coronary vascular morphogenesis,2
GO:0015822,ornithine transport,2
GO:0051044,positive regulation of membrane protein ectodomain proteolysis,2
GO:0070207,protein homotrimerization,2
GO:2000772,regulation of cellular senescence,2
GO:0007296,vitellogenesis,2
GO:0032836,glomerular basement membrane development,2
GO:0023057,negative regulation of signaling,2
GO:0038127,ERBB signaling pathway,2
GO:0001654,eye development,2
GO:0061099,negative regulation of protein tyrosine kinase activity,2
GO:0072376,protein activation cascade,2
GO:0050982,detection of mechanical stimulus,2
GO:0010845,positive regulation of reciprocal meiotic recombination,2
GO:0007020,microtubule nucleation,2
GO:0044092,negative regulation of molecular function,1
GO:2000630,positive regulation of miRNA metabolic process,1
GO:0002292,T cell differentiation involved in immune response,1
GO:0072050,S-shaped body morphogenesis,1
GO:2000273,positive regulation of signaling receptor activity,1
GO:1901142,insulin metabolic process,1
GO:0043308,eosinophil degranulation,1